target_end_date,value,output_type_id,horizon,output_type,reference_date,location,target
2026-05-16,36.962039,0.55,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,26.388502,0.6,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,28.192163,0.6,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,31.115518,0.6,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,34.878493,0.6,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,39.445663,0.6,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,26.837512,0.65,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,29.203468,0.65,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,32.788974,0.65,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,36.733259,0.65,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,42.358459,0.65,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,27.341492,0.7,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,30.133038,0.7,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,34.381965,0.7,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,39.39491,0.7,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,45.532222,0.7,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,27.83972,0.75,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,31.169964,0.75,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,36.016647,0.75,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,42.242003,0.75,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,49.598584,0.75,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,28.476882,0.8,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,32.465138,0.8,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,38.298892,0.8,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,44.841993,0.8,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,54.720198,0.8,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,29.127238,0.85,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,34.026783,0.85,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,40.809854,0.85,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,49.60104,0.85,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,61.27157,0.85,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,30.121654,0.9,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,35.871671,0.9,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,44.727137,0.9,1,quantile,2026-04-25,04,wk inc covid hosp
2026-05-09,55.666753,0.9,2,quantile,2026-04-25,04,wk inc covid hosp
2026-05-16,71.124375,0.9,3,quantile,2026-04-25,04,wk inc covid hosp
2026-04-18,31.370425,0.95,-1,quantile,2026-04-25,04,wk inc covid hosp
2026-04-25,38.267573,0.95,0,quantile,2026-04-25,04,wk inc covid hosp
2026-05-02,51.256943,0.95,1,quantile,2026-04-25,04,wk inc covid hosp
