location,horizon,output_type_id,value,target_end_date,reference_date,output_type,target
22,0,0.15,16.53117667007431,2026-05-09,2026-05-09,quantile,wk inc covid hosp
23,0,0.15,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
24,0,0.15,11.52768352943447,2026-05-09,2026-05-09,quantile,wk inc covid hosp
25,0,0.15,19.455062589964957,2026-05-09,2026-05-09,quantile,wk inc covid hosp
26,0,0.15,7.66726845078793,2026-05-09,2026-05-09,quantile,wk inc covid hosp
27,0,0.15,17.742052482713056,2026-05-09,2026-05-09,quantile,wk inc covid hosp
28,0,0.15,4.769047158868681,2026-05-09,2026-05-09,quantile,wk inc covid hosp
29,0,0.15,11.407916997264806,2026-05-09,2026-05-09,quantile,wk inc covid hosp
30,0,0.15,4.44895215113285,2026-05-09,2026-05-09,quantile,wk inc covid hosp
31,0,0.15,1.2491486665430445,2026-05-09,2026-05-09,quantile,wk inc covid hosp
32,0,0.15,2.7549447672362177,2026-05-09,2026-05-09,quantile,wk inc covid hosp
33,0,0.15,4.233859891187822,2026-05-09,2026-05-09,quantile,wk inc covid hosp
34,0,0.15,46.411651531228564,2026-05-09,2026-05-09,quantile,wk inc covid hosp
35,0,0.15,0.08116411659395673,2026-05-09,2026-05-09,quantile,wk inc covid hosp
36,0,0.15,114.7513388377074,2026-05-09,2026-05-09,quantile,wk inc covid hosp
37,0,0.15,57.38558297705077,2026-05-09,2026-05-09,quantile,wk inc covid hosp
38,0,0.15,1.8608626436132647,2026-05-09,2026-05-09,quantile,wk inc covid hosp
39,0,0.15,31.203230701633004,2026-05-09,2026-05-09,quantile,wk inc covid hosp
40,0,0.15,1.9403453226804515,2026-05-09,2026-05-09,quantile,wk inc covid hosp
41,0,0.15,2.777658555096436,2026-05-09,2026-05-09,quantile,wk inc covid hosp
42,0,0.15,77.38514871568677,2026-05-09,2026-05-09,quantile,wk inc covid hosp
44,0,0.15,1.760690186351974,2026-05-09,2026-05-09,quantile,wk inc covid hosp
45,0,0.15,20.91431802842688,2026-05-09,2026-05-09,quantile,wk inc covid hosp
46,0,0.15,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
47,0,0.15,28.484398309964533,2026-05-09,2026-05-09,quantile,wk inc covid hosp
48,0,0.15,45.704936060154466,2026-05-09,2026-05-09,quantile,wk inc covid hosp
49,0,0.15,0.22188015903095068,2026-05-09,2026-05-09,quantile,wk inc covid hosp
50,0,0.15,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
51,0,0.15,33.33948080171174,2026-05-09,2026-05-09,quantile,wk inc covid hosp
53,0,0.15,17.171969842123893,2026-05-09,2026-05-09,quantile,wk inc covid hosp
54,0,0.15,6.525971035487028,2026-05-09,2026-05-09,quantile,wk inc covid hosp
55,0,0.15,14.822705382416563,2026-05-09,2026-05-09,quantile,wk inc covid hosp
56,0,0.15,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
72,0,0.15,22.2826688798129,2026-05-09,2026-05-09,quantile,wk inc covid hosp
US,0,0.15,1254.65463738002,2026-05-09,2026-05-09,quantile,wk inc covid hosp
01,0,0.2,34.565593332020796,2026-05-09,2026-05-09,quantile,wk inc covid hosp
02,0,0.2,0.44510561787622877,2026-05-09,2026-05-09,quantile,wk inc covid hosp
04,0,0.2,20.6533695832122,2026-05-09,2026-05-09,quantile,wk inc covid hosp
05,0,0.2,2.962276728168374,2026-05-09,2026-05-09,quantile,wk inc covid hosp
06,0,0.2,134.4691963545155,2026-05-09,2026-05-09,quantile,wk inc covid hosp
08,0,0.2,12.096699342159091,2026-05-09,2026-05-09,quantile,wk inc covid hosp
09,0,0.2,6.739657351024195,2026-05-09,2026-05-09,quantile,wk inc covid hosp
10,0,0.2,4.401567215874745,2026-05-09,2026-05-09,quantile,wk inc covid hosp
11,0,0.2,0.11689969960926994,2026-05-09,2026-05-09,quantile,wk inc covid hosp
12,0,0.2,78.56996598401014,2026-05-09,2026-05-09,quantile,wk inc covid hosp
13,0,0.2,25.04971606436126,2026-05-09,2026-05-09,quantile,wk inc covid hosp
15,0,0.2,0.8764394970913721,2026-05-09,2026-05-09,quantile,wk inc covid hosp
16,0,0.2,4.973340902315967,2026-05-09,2026-05-09,quantile,wk inc covid hosp
17,0,0.2,21.186699203876312,2026-05-09,2026-05-09,quantile,wk inc covid hosp
18,0,0.2,15.872567681927677,2026-05-09,2026-05-09,quantile,wk inc covid hosp
19,0,0.2,4.422707792256454,2026-05-09,2026-05-09,quantile,wk inc covid hosp
20,0,0.2,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
21,0,0.2,15.443114453037879,2026-05-09,2026-05-09,quantile,wk inc covid hosp
22,0,0.2,18.2803099865287,2026-05-09,2026-05-09,quantile,wk inc covid hosp
23,0,0.2,0.0,2026-05-09,2026-05-09,quantile,wk inc covid hosp
24,0,0.2,13.324404619457244,2026-05-09,2026-05-09,quantile,wk inc covid hosp
25,0,0.2,22.11809711318547,2026-05-09,2026-05-09,quantile,wk inc covid hosp
26,0,0.2,10.879979838864719,2026-05-09,2026-05-09,quantile,wk inc covid hosp
27,0,0.2,19.48414982036445,2026-05-09,2026-05-09,quantile,wk inc covid hosp
28,0,0.2,5.8999498215143245,2026-05-09,2026-05-09,quantile,wk inc covid hosp
29,0,0.2,13.267042287057054,2026-05-09,2026-05-09,quantile,wk inc covid hosp
30,0,0.2,5.223341012159817,2026-05-09,2026-05-09,quantile,wk inc covid hosp
31,0,0.2,1.789454234484785,2026-05-09,2026-05-09,quantile,wk inc covid hosp
32,0,0.2,3.57524239921692,2026-05-09,2026-05-09,quantile,wk inc covid hosp
