location_name,quantile_0.025_per100k,quantile_0.5_per100k,quantile_0.975_per100k,quantile_0.025_count,quantile_0.5_count,quantile_0.975_count,quantile_0.025_per100k_rounded,quantile_0.5_per100k_rounded,quantile_0.975_per100k_rounded,quantile_0.025_count_rounded,quantile_0.5_count_rounded,quantile_0.975_count_rounded,target,target_end_date,reference_date,forecast_due_date,target_end_date_formatted,forecast_due_date_formatted,reference_date_formatted,model
Alaska,0.8641043381798058,0.8641043381798058,0.8641043381798058,6.32131208073746,6.32131208073746,6.32131208073746,0.86,0.86,0.86,6,6,6,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.8693910548619593,0.8693910548619593,0.8693910548619593,6.35998679228992,6.35998679228992,6.35998679228992,0.87,0.87,0.87,6,6,6,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.9568789343102612,0.9568789343102612,0.9568789343102612,7,7,7,0.96,0.96,0.96,7,7,7,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.9993584124650063,0.9993584124650063,0.9993584124650063,7.31075649846713,7.31075649846713,7.31075649846713,1,1,1,7,7,7,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,1.2430278468961622,1.2430278468961622,1.2430278468961622,9.09330806257653,9.09330806257653,9.09330806257653,1.24,1.24,1.24,9,9,9,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,1.551836488606224,1.551836488606224,1.551836488606224,11.3523822405744,11.3523822405744,11.3523822405744,1.55,1.55,1.55,11,11,11,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,1.7305839011954152,1.7305839011954152,1.7305839011954152,12.66,12.66,12.66,1.73,1.73,1.73,13,13,13,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,1.7975654265971337,1.7975654265971337,1.7975654265971337,13.15,13.15,13.15,1.8,1.8,1.8,13,13,13,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,1.8741157413419545,1.8741157413419545,1.8741157413419545,13.71,13.71,13.71,1.87,1.87,1.87,14,14,14,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,1.9670696949606656,1.9670696949606656,1.9670696949606656,14.39,14.39,14.39,1.97,1.97,1.97,14,14,14,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,2.0900969865148418,2.0900969865148418,2.0900969865148418,15.29,15.29,15.29,2.09,2.09,2.09,15,15,15,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,2.281472773376894,2.281472773376894,2.281472773376894,16.69,16.69,16.69,2.28,2.28,2.28,17,17,17,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,2.4605458310835284,2.4605458310835284,2.4605458310835284,18,18,18,2.46,2.46,2.46,18,18,18,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,2.683361925787204,2.683361925787204,2.683361925787204,19.63,19.63,19.63,2.68,2.68,2.68,20,20,20,wk inc covid hosp,2024-12-07,2024-12-07,2024-12-04,"December 07, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.007956659087176195,0.007956659087176195,0.007956659087176195,0.0582065417192831,0.0582065417192831,0.0582065417192831,0.01,0.01,0.01,0,0,0,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.09280880058572992,0.09280880058572992,0.09280880058572992,0.678938140244878,0.678938140244878,0.678938140244878,0.09,0.09,0.09,1,1,1,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.242938689211771,0.242938689211771,0.242938689211771,1.77720583399425,1.77720583399425,1.77720583399425,0.24,0.24,0.24,2,2,2,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
Alaska,0.4100909718472548,0.4100909718472548,0.4100909718472548,3,3,3,0.41,0.41,0.41,3,3,3,wk inc covid hosp,2024-12-14,2024-12-07,2024-12-04,"December 14, 2024","December 04, 2024","December 07, 2024",CovidHub-ensemble
